Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,4.714680195,4.739860058,4.923649788,,4.408480167,4.68132019,,4.815040112,4.999229908,5.924789906,6.929269791,6.119130135,6.549059868,6.505380154,5.905210018,5.975709915,5.524149895,,,,
Africa Eastern and Southern,AFE,3.983109951,4.673609972,,,3.74496007,4.019869804,3.883069992,,4.5259552,,4.519145012,,,4.610244989,4.602019787,4.681119919,4.219959974,4.762020111,4.834589958,,
Afghanistan,AFG,,,,,,,,,,,3.479449987,3.462009907,2.604199886,3.454459906,3.695219994,3.255800009,4.228360176,4.058869839,,,
Africa Western and Central,AFW,2.593400002,2.42614007,2.636595011,2.772109985,2.790269971,2.84207499,2.741450071,3.052654982,2.741290092,3.109420061,3.078089952,2.877114892,3.013400078,3.029710054,3.648070097,3.735795021,3.025339961,3.702644944,3.511049986,,
Angola,AGO,2.607530117,,,,,2.120110035,2.281460047,,,,3.421319962,,,,,,,,,,
Albania,ALB,3.430170059,3.458699942,3.117799997,3.138240099,3.227519989,3.281549931,3.191459894,3.275929928,,,,,,3.539299965,,3.437969923,3.962090015,3.611720085,,,
Andorra,AND,,,1.65971005,,1.544119954,1.644970059,2.244899988,2.104690075,2.873929977,3.142920017,2.976629972,2.98706007,,2.506160021,3.074209929,3.28034997,3.237070084,3.217089891,3.246720076,3.151619911,
Arab World,ARB,,,,,4.6707201,,,,4.33701992,,,,,,,,,,,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,4.580309868,4.833740234,4.017340183,3.535049915,3.486520052,3.860009909,4.128210068,4.462600231,4.844409943,5.531050205,5.019710064,5.290629864,5.345829964,5.436610222,5.361440182,5.776110172,5.545489788,5.462230206,,,
Armenia,ARM,2.772730112,2.469439983,2.135040045,2.145040035,2.486730099,2.712029934,2.715770006,3.018939972,3.172729969,3.840790033,3.249000072,3.143850088,2.772480011,2.650180101,2.247240067,2.80591011,2.75812006,2.707590103,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,3.394279957,,,,,,,2.517240047,,,,,,,,,,,
Australia,AUS,4.891469955,,,,,4.910299778,4.750199795,4.660890102,4.637760162,5.085820198,5.550059795,5.074510098,4.868999958,5.229740143,5.164770126,5.311270237,5.276780128,5.124249935,,,
Austria,AUT,5.588809967,5.575479984,5.522130013,5.361830235,5.302430153,5.249370098,5.226520061,5.146900177,5.263959885,5.730249882,5.700479984,5.592269897,5.480400085,5.547110081,5.447619915,5.456580162,5.484350204,5.358039856,,,
Azerbaijan,AZE,3.853990078,3.503420115,3.154459953,3.286149979,3.447700024,2.974620104,2.555520058,2.549279928,2.44092989,3.224309921,2.780620098,2.435640097,2.067630053,2.442130089,2.633039951,2.951679945,2.903409958,2.473819971,2.455430031,,
Burundi,BDI,2.645479918,2.903909922,3.004930019,,3.74496007,3.632159948,,,5.192900181,6.171949863,6.775249958,6.319250107,6.167860031,5.995359898,6.784520149,6.370540142,4.691999912,4.762020111,5.078649998,,
Belgium,BEL,,,,,,5.795859814,,,6.332940102,6.458099842,6.442590237,6.431990147,,6.630529881,6.590469837,6.451570034,6.45953989,6.412280083,,,
Benin,BEN,2.113660097,2.365099907,2.159490108,2.283159971,2.566900015,2.656680107,2.56340003,2.363310099,2.777280092,3.089270115,3.679970026,,3.562020063,3.327510118,3.161789894,3.17298007,2.899100065,3.535589933,2.933969975,,
Burkina Faso,BFA,,,,,,3.941139936,3.982189894,4.07983017,,,3.502229929,3.985150099,3.603159904,4.083439827,4.053299904,3.67008996,,5.603469849,5.383790016,,
Bangladesh,BGD,2.125080109,2.171930075,2.017149925,2.069390059,1.940140009,,2.131289959,2.202219963,2.05456996,1.939419985,,2.132699966,2.175499916,1.966160059,,,1.535539985,,,1.326320052,
Bulgaria,BGR,,3.384239912,3.386080027,3.998450041,2.319950104,4.108799934,3.903460026,3.682640076,4.222380161,4.27628994,3.882390022,3.566430092,3.49484992,4.074200153,,,,4.09250021,,,
Bahrain,BHR,,,,,,,2.874409914,2.575000048,2.496779919,,,,2.645309925,2.476890087,2.467459917,2.668080091,,2.327810049,,,
"Bahamas, The",BHS,2.232840061,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,6.196619987,,,,5.712259769,5.871029854,6.076960087,5.152100086,,4.368939877,5.220039845,4.684790134,4.959640026,5.009419918,4.818309784,4.787519932,4.946549892,4.794990063,,,
Belize,BLZ,5.028429985,5.79708004,,5.24905014,5.33630991,,,,5.772630215,6.178120136,6.719810009,,,6.425360203,6.614729881,6.88888979,7.284770012,7.509890079,7.561490059,,
Bermuda,BMU,,,,1.666270018,1.775879979,1.988770008,,,,2.615190029,2.6442101,,,,1.782850027,1.698600054,,1.500390053,,,
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,3.948930025,3.844680071,3.750370026,,3.974479914,4.4790802,4.870600224,4.974259853,5.268839836,5.463550091,5.648799896,5.737410069,5.855100155,5.838850021,5.948480129,6.24105978,6.314040184,6.32254982,,,
Barbados,BRB,4.71585989,6.055369854,5.880620003,6.245699883,6.024280071,5.669650078,,5.220389843,4.922599792,5.116179943,6.054399967,,5.262740135,5.148990154,6.143499851,,4.95138979,4.366380215,,,
Brunei Darussalam,BRN,3.705909967,,,,,,,,,,2.046610117,3.322099924,2.889590025,,3.353189945,,4.425409794,,,,
Bhutan,BTN,5.513790131,5.91573,,,6.609069824,7.287149906,,,4.911590099,4.741740227,4.12473011,4.765230179,,5.722750187,6.04489994,7.590099812,6.993330002,7.225739956,6.850840092,,
Botswana,BWA,,,,,,10.67858982,,8.851490021,,9.632920265,,,,,,,,,,,
Central African Republic,CAF,1.612650037,,1.519569993,1.539800048,1.624529958,1.652220011,1.415060043,1.313320041,1.290009975,1.254580021,1.117609978,1.107920051,,,,,,,,,
Canada,CAN,5.441999912,4.969560146,5.01072979,,,4.782149792,,4.780360222,4.638259888,4.852640152,5.36992979,5.274439812,,,,,,,,,
Central Europe and the Baltics,CEB,4.868400097,5.077809811,5.179230213,5.074510098,4.861130238,4.813159943,4.71378994,4.590549946,4.83453989,4.958040237,4.761209965,4.590109825,4.466775179,4.564869881,4.61743021,4.812260151,4.655389786,4.09250021,,,
Switzerland,CHE,4.781400204,4.95980978,5.314290047,5.523759842,5.445730209,5.204100132,4.9615798,4.687379837,4.867990017,5.041180134,4.926050186,4.969860077,5.033370018,5.040480137,5.051229954,5.100570202,5.104730129,5.130189896,,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,3.77583003,,4.081210136,3.963459969,3.538389921,3.262830019,3.021529913,3.21378994,3.792429924,4.230649948,4.162089825,4.045189857,,4.529429913,4.730949879,4.875309944,5.342010021,5.41945982,,,
China,CHN,,,,,,,,,,,,,,,,,,,,3.511773702,
Cote d'Ivoire,CIV,3.703670025,3.668679953,4.090330124,3.967989922,4.127860069,4.105750084,4.00150013,4.258329868,4.341259956,4.41245985,4.553460121,4.137549877,4.654109955,4.729000092,4.577429771,3.494159937,3.97232008,3.80347991,3.256030083,,
Cameroon,CMR,1.779919982,2.424180031,,3.091419935,3.013639927,2.887170076,2.741450071,3.075229883,2.611180067,3.109420061,2.993659973,2.766769886,2.697180033,2.768019915,2.687129974,2.768049955,2.654230118,3.154819965,3.131200075,,
"Congo, Dem. Rep.",COD,,,,,,,,,,,1.524979949,,,2.062210083,1.951429963,2.170439959,2.118690014,1.454949975,,,
"Congo, Rep.",COG,,,3.208319902,2.836159945,2.288130045,1.835770011,,,,,6.220789909,,,,4.017199993,4.561470032,,5.46505022,3.511049986,,
Colombia,COL,3.511209965,3.708679914,4.268129826,4.325139999,4.079349995,4.020989895,3.916719913,4.083010197,3.938780069,4.776519775,4.83382988,4.466080189,4.370389938,4.878550053,4.629459858,4.470389843,4.477210045,4.535510063,4.457489967,,
Comoros,COM,,,2.258419991,,,,,,4.42264986,,,2.830450058,2.747839928,2.382760048,2.744729996,2.545059919,,,,,
Cabo Verde,CPV,,,7.876820087,,7.476640224,,6.529600143,5.407549858,5.518000126,5.308959961,5.567289829,5.043610096,,5.001440048,4.963870049,5.266910076,5.288790226,5.181749821,,,
Costa Rica,CRI,4.68696022,4.851099968,5.173540115,5.156360149,4.912179947,,4.639180183,4.658899784,4.91711998,6.046350002,6.634449959,6.455349922,6.68983984,6.849339962,6.869520187,7.082540035,7.097680092,7.315720081,6.978569984,7.048759937,
Caribbean small states,CSS,3.869560003,4.223160028,4.459119916,3.696724892,3.912549973,4.616419792,,5.49022007,6.191319942,6.198480129,6.370600224,6.266640186,6.112460136,6.251080036,6.016540051,5.455770016,5.315080166,5.260620117,5.41478014,5.16918993,
Cuba,CUB,7.704810143,8.358090401,9.571169853,9.940859795,10.26823044,10.55778027,9.057169914,11.86820984,14.05908012,13.12485981,12.83730984,,,,,,,,,,
Curacao,CUW,,,,,,,,,,,,,,4.930950165,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,4.9895401,5.11552,5.581669807,6.670229912,6.117720127,6.286670208,6.330269814,6.280829906,6.722760201,7.205450058,6.54279995,6.538539886,,6.483779907,6.448500156,6.346360207,6.163799763,5.777190208,,,
Czech Republic,CZE,3.650890112,3.748549938,3.972559929,4.136429787,4.014239788,3.890379906,4.217100143,3.866630077,3.74454999,4.171279907,4.064459801,4.272140026,4.250860214,4.090889931,3.994620085,5.788849831,5.587379932,3.854020119,,,
Germany,DEU,,,,,,,4.293960094,4.366799831,4.435949802,4.909510136,4.94367981,4.82487011,4.956580162,4.961110115,4.939620018,4.834980011,4.840219975,4.905119896,,,
Djibouti,DJI,9.659999847,7.805429935,8.447600365,8.889849663,9.264670372,8.365889549,8.278779984,8.40625,,,4.49022007,,,,,3.590240002,3.924390078,3.748559952,3.627739906,,
Dominica,DMA,,,,,,,,,,,,,,,,3.408580065,,,,5.573450089,
Denmark,DNK,8.084340096,8.215450287,8.213029861,8.121930122,8.207630157,8.085570335,7.729909897,7.615600109,7.4760499,8.448880196,8.559550285,8.48486042,7.237820148,8.494429588,7.634850025,,,7.816080093,,,
Dominican Republic,DOM,1.888290048,1.967829943,1.914010048,1.84465003,,,,2.046789885,,,,,,,,,,,,,
Algeria,DZA,,,,,,,,,4.33701992,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,4.208930016,2.69233501,2.89222002,,2.748470068,,,3.078419924,3.508500099,3.861939907,4.076770067,4.60902977,4.865959883,4.532395124,,,,,,,
Early-demographic dividend,EAR,3.983109951,4.088779926,3.407730103,3.574229956,3.419530034,,4.001780033,3.563529968,4.125389934,,4.02741003,3.79618001,3.712470055,,,,,,,,
East Asia & Pacific,EAS,,3.499780059,3.864919901,,3.652760029,,,3.392745018,3.413825035,4.392129898,3.639499903,4.125804901,4.536709785,4.1240201,4.152719975,,,,,,
Europe & Central Asia (excluding high income),ECA,3.25661993,3.325264931,3.227304935,3.415060043,3.270125031,3.512130022,3.634880066,3.682640076,4.099474907,4.187299967,,3.935110092,3.793100119,3.91901505,4.41609478,3.789020061,3.760440111,3.903795123,,,
Europe & Central Asia,ECS,4.166140079,4.650090218,4.438934803,4.673229933,4.738790035,4.873839855,4.820549965,4.672060013,4.880650043,5.057749987,5.220039845,4.969860077,4.811810017,5.024950027,5.124000072,4.885540009,4.821000099,4.783239841,,,
Ecuador,ECU,1.150930047,,,,,,,,,4.342420101,4.507430077,4.726890087,4.643070221,5.004640102,5.260990143,4.998700142,,,,,
"Egypt, Arab Rep.",EGY,,,,4.945630074,4.6707201,4.794429779,4.001780033,3.68460989,3.760829926,,,,,,,,,,,,
Euro area,EMU,4.585120201,5.224609852,5.258719921,5.074510098,4.961864948,4.97356987,4.820549965,4.684490204,5.109519958,5.563149929,5.473380089,5.127089977,4.956580162,5.334609985,5.27489996,4.909530163,4.821000099,4.939249992,,,
Eritrea,ERI,,4.047160149,3.523900032,,3.148969889,,2.127000093,,,,,,,,,,,,,,
Spain,ESP,4.166049957,4.111269951,4.134570122,4.173429966,4.157859802,4.144320011,4.184820175,4.254049778,4.528059959,4.912000179,4.856080055,4.896920204,4.469339848,4.351019859,4.303380013,4.286570072,4.227640152,4.20773983,,,
Estonia,EST,5.332429886,5.224609852,5.431310177,5.271170139,4.877349854,4.813159943,,4.620639801,5.477379799,5.926519871,5.473380089,4.969920158,4.682690144,4.812670231,5.367080212,5.106850147,5.170539856,4.973380089,,,
Ethiopia,ETH,3.983109951,3.700289965,3.632450104,,,,5.490960121,5.451129913,5.408199787,4.422070026,4.496590137,5.485760212,5.56678009,4.498549938,4.602019787,4.737919807,,,,,
European Union,EUU,4.868400097,5.077809811,5.179230213,5.074510098,4.961864948,5.073949814,4.864109993,4.684490204,5.029049873,5.554969788,5.312739849,4.969920158,4.880609989,4.961110115,5.124000072,4.897535086,4.801780224,4.725169897,,,
Fragile and conflict affected situations,FCS,,,,,,,,,,,3.121330023,3.102479935,,3.369554996,,,,3.471064925,,,
Finland,FIN,5.709300041,5.840250015,6.0167799,6.167439938,6.157579899,6.02507019,5.928380013,5.67125988,5.83010006,6.459559917,6.504449844,6.445049763,7.148039818,7.124040127,7.102369785,7.032080173,6.851530075,6.376210213,,,
Fiji,FJI,5.857250214,5.617139816,6.24382019,,6.164929867,5.121970177,5.607140064,5.848430157,4.25357008,4.498479843,,4.17305994,,3.882889986,,,,,,,
France,FRA,,,,,,,,,,,,,,,,,,5.451600075,,,
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,6.706870079,,,,,,,,,,,,,,,12.40791988,,,,,
Gabon,GAB,3.827090025,,,,,,,,,,3.078089952,2.987459898,3.013400078,3.029710054,2.666670084,,,,,,
United Kingdom,GBR,4.031189919,4.119229794,4.638869762,4.804669857,4.738790035,4.939139843,4.985310078,4.914820194,4.89331007,5.074319839,5.703239918,5.595230103,,5.529799938,5.598999977,5.556159973,5.426700115,5.442090034,,,
Georgia,GEO,2.181050062,2.137500048,2.235019922,2.065599918,2.914200068,2.484319925,3.00364995,2.696870089,2.919549942,3.222379923,,2.576139927,1.906100035,,,,3.593869925,3.574429989,3.52105999,,
Ghana,GHA,,5.354440212,,,7.535580158,7.42208004,5.259829998,5.519869804,5.757959843,5.317440033,5.540599823,8.14097023,7.919139862,4.60710001,4.491819859,4.510890007,4.486830235,3.617980003,3.989439964,,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,2.593400002,2.081909895,2.593869925,2.371020079,2.210000038,1.849060059,,,1.581120014,2.207250118,2.551189899,2.287420034,1.833709955,2.63421011,2.422810078,2.517139912,2.544559956,2.31765008,2.315939903,,
"Gambia, The",GMB,1.465870023,1.158100009,1.44291997,1.363379955,0.622470021,0.691879988,0.751630008,0.81686002,2.181299925,1.908139944,2.563220024,2.50116992,2.637569904,1.818390012,2.230940104,2.160029888,2.024430037,,2.420300007,,
Guinea-Bissau,GNB,,,,,,,,,,,1.860820055,1.857859969,2.001060009,2.13248992,,,,,,,
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,3.230190039,3.364579916,3.424309969,3.429339886,3.667190075,3.963959932,,,,,,,,,,,,,,,
Grenada,GRD,,,,3.926739931,,,,,,,,,,,,,,3.173799992,,,
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,,,,,,,2.984009981,3.03873992,3.184540033,,2.803060055,2.920140028,2.957859993,2.888089895,2.985620022,3.030329943,2.944740057,2.951819897,3.140929937,3.212199926,
Guam,GUM,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,8.484149933,8.397299767,8.365539551,6.955900192,5.51293993,8.139730453,5.089250088,3.752619982,,3.302740097,3.638550043,3.592040062,3.182420015,,5.847959995,5.214829922,6.06099987,6.230070114,5.493579865,,
High income,HIC,4.781400204,4.964684963,5.094980001,5.057465076,5.046380043,4.92471981,4.864109993,4.699810028,4.89331007,5.085820198,5.36992979,5.022215128,4.90920496,5.005295038,5.124000072,5.103710175,5.104730129,4.939249992,,,
"Hong Kong SAR, China",HKG,,3.903700113,4.015540123,4.285299778,4.558959961,4.134630203,3.842789888,3.454550028,3.260629892,4.392129898,3.510030031,3.418220043,3.509609938,3.760319948,3.572550058,3.262120008,3.292649984,3.310100079,3.326519966,3.810580015,
Honduras,HND,,,,,,,,,,,,,,5.874929905,7.090119839,6.412970066,,,6.06746006,,
Heavily indebted poor countries (HIPC),HPC,2.593400002,2.70720005,2.636595011,,3.02925992,3.023475051,,,2.759285092,3.232720017,3.502229929,3.282244921,3.209389925,3.390985012,3.856209993,3.735795021,3.096090078,3.787309885,3.547209978,,
Croatia,HRV,,,3.819780111,3.864379883,3.81904006,,,3.965199947,4.281829834,4.391839981,4.242040157,4.150109768,,4.564869881,,,,3.917129993,,,
Haiti,HTI,,,,,,,,,,,,,,,3.02451992,3.1572299,2.449589968,2.689450026,2.780469894,,
Hungary,HUN,4.868400097,4.931009769,5.179230213,5.791150093,5.335859776,5.330920219,5.296080112,5.143050194,4.973589897,4.958040237,4.761209965,4.590109825,4.163859844,4.197730064,4.61743021,4.518660069,4.655389786,4.667099953,,,
IBRD only,IBD,3.901460052,3.771124959,3.785075068,3.864379883,3.698850036,3.899299979,3.903460026,3.824904919,4.162065029,4.483980179,4.242040157,4.150109768,3.867500067,4.099110126,,,4.411010027,4.307660103,,,
IDA & IBRD total,IBT,3.430170059,3.503420115,3.386080027,3.458904982,3.348845005,3.512130022,3.669059992,3.60984993,3.926270008,4.253469944,3.882390022,3.819399953,3.690005064,3.801490068,4.068289995,4.127710104,3.962090015,4.088590145,,,
IDA total,IDA,2.593400002,2.903909922,2.825220108,,3.02925992,3.309639931,,,3.34442997,3.356019974,3.521014929,3.102479935,3.479490042,3.454459906,4.005110025,3.939965129,3.419300079,4.031330109,3.696439981,,
IDA blend,IDB,,,,,2.650884986,2.468445063,,,,,4.250940084,,5.509039879,5.539264917,5.280210018,4.916404963,5.362669945,5.324010134,4.408650041,,
Indonesia,IDN,,2.460030079,2.645689964,3.217999935,2.748470068,2.872819901,,3.044250011,2.901900053,3.525130033,2.81227994,3.189440012,3.407480001,3.359040022,3.288009882,3.583600044,,,,,
IDA only,IDX,2.61943996,2.903909922,2.775789976,,3.076004982,3.364639997,3.40350008,,3.403559923,3.61195004,3.521014929,3.102479935,3.344439983,3.327510118,3.695219994,3.752544999,3.257695079,3.80347991,3.696439981,,
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,
India,IND,4.324790001,,,3.613409996,3.352540016,3.188750029,3.142849922,,,3.278249979,3.377690077,3.79618001,3.867500067,3.844670057,,,,,,,
Not classified,INX,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,4.136640072,4.091869831,4.106040001,4.20554018,4.486299992,4.522160053,4.545509815,4.712240219,5.444149971,6.135089874,6.038040161,5.858260155,5.765729904,5.334609985,4.881390095,3.758290052,3.7197299,3.506860018,,,
"Iran, Islamic Rep.",IRN,4.030640125,4.071680069,4.484879971,4.363220215,4.296629906,4.056509972,4.289989948,4.596809864,3.913759947,3.842449903,3.709180117,3.484970093,3.168590069,3.06795001,2.801350117,2.797389984,3.365760088,3.790400028,3.955359936,,
Iraq,IRQ,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,6.447169781,6.730020046,7.31757021,7.254779816,7.156290054,7.356090069,7.299240112,6.98871994,7.10258007,7.184249878,6.978479862,6.818230152,7.596360207,7.491219997,7.688580036,7.512909889,7.495210171,7.658219814,,,
Israel,ISR,6.118020058,6.37691021,6.466380119,6.34953022,5.944399834,5.759759903,5.760499954,5.502170086,5.535439968,5.494550228,5.535349846,5.566880226,5.699810028,5.884890079,5.792650223,5.867300034,5.857130051,6.092619896,,,
Italy,ITA,4.291079998,4.650090218,4.432409763,4.541790009,4.385200024,4.238299847,4.52545023,4.10503006,4.387949944,4.523719788,4.334119797,4.115680218,4.056019783,4.143670082,4.061279774,4.073629856,3.815789938,4.044939995,,,
Jamaica,JAM,4.983469963,5.381030083,5.375229836,4.256849766,3.912549973,4.616419792,,5.49022007,6.191319942,6.198480129,6.370600224,6.266640186,6.112460136,6.251080036,6.016540051,5.455770016,5.315080166,5.260620117,5.41478014,5.16918993,
Jordan,JOR,,,,,,,,,,,,,,,,,3.514120102,3.284049988,3.034349918,3.072530031,
Japan,JPN,3.516170025,3.457070112,3.46536994,3.523689985,3.483069897,3.368619919,3.329090118,3.330940008,3.319149971,,3.639499903,3.642580032,3.692260027,3.665380001,3.59059,,3.186180115,3.182179928,,,
Kazakhstan,KAZ,3.25661993,,3.029700041,,2.25590992,2.263530016,2.626780033,2.831389904,2.589459896,3.060719967,,,,,,2.788579941,2.978100061,2.750819921,2.615950108,,
Kenya,KEN,5.186729908,5.206210136,6.171999931,6.494269848,6.796929836,7.335649967,7.049839973,,,,5.508220196,5.335289955,5.509039879,5.411379814,5.280210018,5.271339893,5.362669945,5.366680145,5.306250095,,
Kyrgyz Republic,KGZ,3.50838995,3.854180098,4.445459843,4.475419998,4.622439861,4.873839855,5.549860001,6.467000008,5.913189888,6.232679844,5.818830013,6.79061985,7.384230137,6.780200005,5.531599998,5.985509872,6.586150169,6.026189804,,,
Cambodia,KHM,1.655990005,1.722219944,1.711210012,,1.719820023,,,1.599300027,,1.665680051,1.533789992,1.510689974,1.560899973,2.05053997,1.909389973,,,,2.162859917,,
Kiribati,KIR,11.18587017,11.98812008,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,4.611090183,4.265309811,3.792390108,3.662580013,3.803639889,3.628999949,4.059259892,4.193809986,,,,,,,,2.643460035,,,,,
"Korea, Rep.",KOR,,,,,,,,,,,,,,,,,4.333099842,,,,
Kuwait,KWT,,6.585830212,6.551109791,,5.535069942,4.738339901,3.759979963,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),LAC,3.970685005,4.105879784,4.017340183,3.851875067,3.943514943,,4.128210068,4.272805214,4.82006979,5.325745106,4.83382988,4.596485138,4.643070221,5.004640102,5.260620117,4.998700142,4.27918005,4.522819996,,,
Lao PDR,LAO,1.503690004,1.990280032,2.825220108,,2.413000107,2.414089918,2.958790064,3.078419924,2.27854991,1.654850006,1.709789991,1.708019972,1.821470022,3.233809948,2.937809944,,,,,,
