Year,Country,Average,Standard Error
2018,Selected countries and jurisdictions,489,(0.4)
2018,Australia,491,(1.9)
2018,Austria,499,(3.0)
2018,Belgium,508,(2.3)
2018,Canada,512,(2.4)
2018,Chile,417,(2.4)
2018,Colombia,391,(3.0)
2018,Czech Republic,499,(2.5)
2018,Denmark,509,(1.7)
2018,Estonia,523,(1.7)
2018,Finland,507,(2.0)
2018,France,495,(2.3)
2018,Germany,500,(2.6)
2018,Greece,451,(3.1)
2018,Hungary,481,(2.3)
2018,Iceland,495,(2.0)
2018,Ireland,500,(2.2)
2018,Israel,463,(3.5)
2018,Italy,487,(2.8)
2018,Japan,527,(2.5)
2018,Korea,526,(3.1)
2018,Latvia,496,(2.0)
2018,Lithuania,481,(2.0)
2018,Luxembourg,483,(1.1)
2018,Mexico,409,(2.5)
2018,Netherlands,519,(2.6)
2018,New Zealand,494,(1.7)
2018,Norway,501,(2.2)
2018,Poland,516,(2.6)
2018,Portugal,492,(2.7)
2018,Slovak Republic,486,(2.6)
2018,Slovenia,509,(1.4)
2018,Spain,481,(1.5)
2018,Sweden,502,(2.7)
2018,Switzerland,515,(2.9)
2018,Turkey,454,(2.3)
2018,United Kingdom,502,(2.6)
2018,United States,478,(3.2)
2015,Selected countries and jurisdictions,487,(0.4)
2015,Australia,494,(1.6)
2015,Austria,497,(2.9)
2015,Belgium,507,(2.4)
2015,Canada,516,(2.3)
2015,Chile,423,(2.5)
2015,Colombia,390,(2.3)
2015,Czech Republic,492,(2.4)
2015,Denmark,511,(2.2)
2015,Estonia,520,(2.0)
2015,Finland,511,(2.3)
2015,France,493,(2.1)
2015,Germany,506,(2.9)
2015,Greece,454,(3.8)
2015,Hungary,477,(2.5)
2015,Iceland,488,(2.0)
2015,Ireland,504,(2.1)
2015,Israel,470,(3.6)
2015,Italy,490,(2.8)
2015,Japan,532,(3.0)
2015,Korea,524,(3.7)
2015,Latvia,482,(1.9)
2015,Lithuania,478,(2.3)
2015,Luxembourg,486,(1.3)
2015,Mexico,408,(2.2)
2015,Netherlands,512,(2.2)
2015,New Zealand,495,(2.3)
2015,Norway,502,(2.2)
2015,Poland,504,(2.4)
2015,Portugal,492,(2.5)
2015,Slovak Republic,475,(2.7)
2015,Slovenia,510,(1.3)
2015,Spain,486,(2.2)
2015,Sweden,494,(3.2)
2015,Switzerland,521,(2.9)
2015,Turkey,420,(4.1)
2015,United Kingdom,492,(2.5)
2015,United States,470,(3.2)
2012,Selected countries and jurisdictions,490,(0.5)
2012,Australia,504,(1.6)
2012,Austria,506,(2.7)
2012,Belgium,515,(2.1)
2012,Canada,518,(1.8)
2012,Chile,423,(3.1)
2012,Colombia,376,(2.9)
2012,Czech Republic,499,(2.9)
2012,Denmark,500,(2.3)
2012,Estonia,521,(2.0)
2012,Finland,519,(1.9)
2012,France,495,(2.5)
2012,Germany,514,(2.9)
2012,Greece,453,(2.5)
2012,Hungary,477,(3.2)
2012,Iceland,493,(1.7)
2012,Ireland,501,(2.2)
2012,Israel,466,(4.7)
2012,Italy,485,(2.0)
2012,Japan,536,(3.6)
2012,Korea,554,(4.6)
2012,Latvia,491,(2.8)
2012,Lithuania,479,(2.6)
2012,Luxembourg,490,(1.1)
2012,Mexico,413,(1.4)
2012,Netherlands,523,(3.5)
2012,New Zealand,500,(2.2)
2012,Norway,489,(2.7)
2012,Poland,518,(3.6)
2012,Portugal,487,(3.8)
2012,Slovak Republic,482,(3.4)
2012,Slovenia,501,(1.2)
2012,Spain,484,(1.9)
2012,Sweden,478,(2.3)
2012,Switzerland,531,(3.0)
2012,Turkey,448,(4.8)
2012,United Kingdom,494,(3.3)
2012,United States,481,(3.6)
2009,Selected countries and jurisdictions,492,(0.5)
2009,Australia,514,(2.5)
2009,Austria,496,(2.7)
2009,Belgium,515,(2.3)
2009,Canada,527,(1.6)
2009,Chile,421,(3.1)
2009,Colombia,381,(3.2)
2009,Czech Republic,493,(2.8)
2009,Denmark,503,(2.6)
2009,Estonia,512,(2.6)
2009,Finland,541,(2.2)
2009,France,497,(3.1)
2009,Germany,513,(2.9)
2009,Greece,466,(3.9)
2009,Hungary,490,(3.5)
2009,Iceland,507,(1.4)
2009,Ireland,487,(2.5)
2009,Israel,447,(3.3)
2009,Italy,483,(1.9)
2009,Japan,529,(3.3)
2009,Korea,546,(4.0)
2009,Latvia,482,(3.1)
2009,Lithuania,477,(2.6)
2009,Luxembourg,489,(1.2)
2009,Mexico,419,(1.8)
2009,Netherlands,526,(4.7)
2009,New Zealand,519,(2.3)
2009,Norway,498,(2.4)
2009,Poland,495,(2.8)
2009,Portugal,487,(2.9)
2009,Slovak Republic,497,(3.1)
2009,Slovenia,501,(1.2)
2009,Spain,483,(2.1)
2009,Sweden,494,(2.9)
2009,Switzerland,534,(3.3)
2009,Turkey,445,(4.4)
2009,United Kingdom,492,(2.4)
2009,United States,487,(3.6)
2006,Selected countries and jurisdictions,490,(0.5)
2006,Australia,520,(2.2)
2006,Austria,505,(3.7)
2006,Belgium,520,(3.0)
2006,Canada,527,(2.0)
2006,Chile,411,(4.6)
2006,Colombia,370,(3.8)
2006,Czech Republic,510,(3.6)
2006,Denmark,513,(2.6)
2006,Estonia,515,(2.7)
2006,Finland,548,(2.3)
2006,France,496,(3.2)
2006,Germany,504,(3.9)
2006,Greece,459,(3.0)
2006,Hungary,491,(2.9)
2006,Iceland,506,(1.8)
2006,Ireland,501,(2.8)
2006,Israel,442,(4.3)
2006,Italy,462,(2.3)
2006,Japan,523,(3.3)
2006,Korea,547,(3.8)
2006,Latvia,486,(3.0)
2006,Lithuania,486,(2.9)
2006,Luxembourg,490,(1.1)
2006,Mexico,406,(2.9)
2006,Netherlands,531,(2.6)
2006,New Zealand,522,(2.4)
2006,Norway,490,(2.6)
2006,Poland,495,(2.4)
2006,Portugal,466,(3.1)
2006,Slovak Republic,492,(2.8)
2006,Slovenia,504,(1.0)
2006,Spain,480,(2.3)
2006,Sweden,502,(2.4)
2006,Switzerland,530,(3.2)
2006,Turkey,424,(4.9)
2006,United Kingdom,495,(2.1)
2006,United States,474,(4.0)
2003,Selected countries and jurisdictions,499,(0.6)
2003,Australia,524,(2.1)
2003,Austria,506,(3.3)
2003,Belgium,529,(2.3)
2003,Canada,532,(1.8)
2003,Chile,,
2003,Colombia,,
2003,Czech Republic,516,(3.5)
2003,Denmark,514,(2.7)
2003,Estonia,,
2003,Finland,544,(1.9)
2003,France,511,(2.5)
2003,Germany,503,(3.3)
2003,Greece,445,(3.9)
2003,Hungary,490,(2.8)
2003,Iceland,515,(1.4)
2003,Ireland,503,(2.4)
2003,Israel,,
2003,Italy,466,(3.1)
2003,Japan,534,(4.0)
2003,Korea,542,(3.2)
2003,Latvia,483,(3.7)
2003,Lithuania,,
2003,Luxembourg,493,(1.0)
2003,Mexico,385,(3.6)
2003,Netherlands,538,(3.1)
2003,New Zealand,523,(2.3)
2003,Norway,495,(2.4)
2003,Poland,490,(2.5)
2003,Portugal,466,(3.4)
2003,Slovak Republic,498,(3.3)
2003,Slovenia,,
2003,Spain,485,(2.4)
2003,Sweden,509,(2.6)
2003,Switzerland,527,(3.4)
2003,Turkey,423,(6.7)
2003,United Kingdom,508,(2.4)
2003,United States,483,(2.9)
2000,Selected countries and jurisdictions,,
2000,Australia,,
2000,Austria,,
2000,Belgium,,
2000,Canada,,
2000,Chile,,
2000,Colombia,,
2000,Czech Republic,,
2000,Denmark,,
2000,Estonia,,
2000,Finland,,
2000,France,,
2000,Germany,,
2000,Greece,,
2000,Hungary,,
2000,Iceland,,
2000,Ireland,,
2000,Israel,,
2000,Italy,,
2000,Japan,,
2000,Korea,,
2000,Latvia,,
2000,Lithuania,,
2000,Luxembourg,,
2000,Mexico,,
2000,Netherlands,,
2000,New Zealand,,
2000,Norway,,
2000,Poland,,
2000,Portugal,,
2000,Slovak Republic,,
2000,Slovenia,,
2000,Spain,,
2000,Sweden,,
2000,Switzerland,,
2000,Turkey,,
2000,United Kingdom,,
2000,United States,,
